Abui;En;zero;pat;loc/ben;rec/goal;Verb
rowadi;live.in.condition;0;0;0;1;rowadi_live.in.condition
nel;give;0;0;0;1;nel_give
dang;grumble;0;0;0;1;dang_grumble
walra;exceed;0;0;0;1;walra_exceed
madii;infect;0;0;0;1;madii_infect
malai;causing.death;0;0;0;1;malai_causing.death
sanokangdia;reveal;0;0;0;1;sanokangdia_reveal
nai;loose;0;0;0;1;nai_loose
sembayang;pray.for;0;0;0;1;sembayang_pray.for
mingmaran;want;0;0;0;1;mingmaran_want
putardi;stir;0;0;0;1;putardi_stir
nakal;alone;0;0;0;1;nakal_alone
padi;have;0;0;0;1;padi_have
saasanri;assemble;0;0;0;1;saasanri_assemble
fahat;embrace;0;0;0;1;fahat_embrace
mingmarang;want;0;0;0;1;mingmarang_want
daweng;cure;0;0;0;1;daweng_cure
tatuk;"be.feverish;suffer.fever";0;0;0;1;"tatuk_be.feverish;suffer.fever"
dawen;cure;0;0;0;1;dawen_cure
mpang-pang;wonder;0;0;0;1;mpang-pang_wonder
madia;infect;0;0;0;1;madia_infect
aka;be.naked;0;0;0;1;aka_be.naked
sua;three;0;0;0;1;sua_three
peek;"draw.near;near.to";0;0;1;0;"peek_draw.near;near.to"
bab;strike;0;0;1;0;bab_strike
bako;harvest;0;0;1;0;bako_harvest
imida;characterize;0;0;1;0;imida_characterize
ina;"return.to;self";0;0;1;0;"ina_return.to;self"
abok;remove;0;0;1;0;abok_remove
loohu-loohudi;move.chaotially;0;0;1;0;loohu-loohudi_move.chaotially
sobak;slipping.sound;0;0;1;0;sobak_slipping.sound
paneei;touch;0;0;1;0;paneei_touch
uwo;under;0;0;1;0;uwo_under
kui;peel;0;0;1;0;kui_peel
ui;back;0;0;1;0;ui_back
kat;stuck;0;0;1;0;kat_stuck
ir;give.a.name;0;0;1;0;ir_give.a.name
tilei;"continue;hang";0;0;1;0;"tilei_continue;hang"
kari;narrow;0;0;1;0;kari_narrow
bahait;collect;0;0;1;0;bahait_collect
tatopi;pile.up;0;0;1;0;tatopi_pile.up
lati;exercise;0;0;1;0;lati_exercise
bahat;collect;0;0;1;0;bahat_collect
manai;replace;0;0;1;0;manai_replace
yen;how.much;0;0;1;0;yen_how.much
susa;pass.away;0;0;1;0;susa_pass.away
kulukkulukda;boil;0;0;1;0;kulukkulukda_boil
buk-bukdi;cluster;0;0;1;0;buk-bukdi_cluster
riil;climb.onto;0;0;1;0;riil_climb.onto
ahani;breathe.into;0;0;1;0;ahani_breathe.into
nir;"done.so;do.so";0;0;1;0;"nir_done.so;do.so"
maria;leak.fluid;0;0;1;0;maria_leak.fluid
nil;"give;do.so";0;0;1;0;"nil_give;do.so"
abokdi;remove;0;0;1;0;abokdi_remove
ye;reach;0;0;1;0;ye_reach
wo?;rmt.l;0;0;1;0;wo?_rmt.l
kaai;voracious;0;0;1;0;kaai_voracious
laan;wash.in;0;0;1;0;laan_wash.in
walri;drive.crazy;0;0;1;0;walri_drive.crazy
bahaik;collect;0;0;1;0;bahaik_collect
teet;stop;0;0;1;0;teet_stop
bunui;hide.from;0;0;1;0;bunui_hide.from
tantama;"middle.of;middle";0;0;1;0;"tantama_middle.of;middle"
kafii;scratch;0;0;1;0;kafii_scratch
masolang;be.pure;0;0;1;0;masolang_be.pure
foof;nod;0;0;1;0;foof_nod
taai;look.for;0;0;1;0;taai_look.for
war;deny;0;0;1;0;war_deny
tamai;"repeat;keep.doing";0;0;1;0;"tamai_repeat;keep.doing"
yelri;go.insane;0;0;1;0;yelri_go.insane
teling;repair;0;0;1;0;teling_repair
kafi;scrape;0;0;1;0;kafi_scrape
ukda;shocked;0;0;1;0;ukda_shocked
uwo-taaha;be.adjacent;0;0;1;0;uwo-taaha_be.adjacent
tabun;hide.from;0;0;1;0;tabun_hide.from
le;strike.at;0;0;1;0;le_strike.at
pati;box;0;0;1;0;pati_box
nidi;happened.so;0;0;1;0;nidi_happened.so
let;aim;0;0;1;0;let_aim
pan;reshape;0;0;1;1;pan_reshape
luut;rub;0;0;1;1;luut_rub
muna;bring.up;0;1;0;0;muna_bring.up
tok;drop;0;1;0;0;tok_drop
ranri;receive;0;1;0;0;ranri_receive
pak;bring.at.;0;1;0;0;pak_bring.at.
bung;hide;0;1;0;0;bung_hide
toh;collect;0;1;0;0;toh_collect
piet;pass.along;0;1;0;0;piet_pass.along
baan;insert;0;1;0;0;baan_insert
mi-riik;get.upset;0;1;0;0;mi-riik_get.upset
moidi;sound;0;1;0;0;moidi_sound
kupil;round;0;1;0;0;kupil_round
ta?a?ng;hand;0;1;0;0;ta?a?ng_hand
li;fly;0;1;0;0;li_fly
tap;bring.down.;0;1;0;0;tap_bring.down.
tinri;roll;0;1;0;0;tinri_roll
mai;"put.in.;put.in";0;1;0;0;"mai_put.in.;put.in"
rang;direct;0;1;0;0;rang_direct
mintaahi;pray;0;1;0;0;mintaahi_pray
mu;wound;0;1;0;0;mu_wound
liol;"gather;go.after";0;1;0;0;"liol_gather;go.after"
moi;"answer;sound";0;1;0;0;"moi_answer;sound"
tingtingri;roll.on;0;1;0;0;tingtingri_roll.on
rimaldi;turn.round;0;1;0;0;rimaldi_turn.round
peekda;draw.near;0;1;0;0;peekda_draw.near
tahangdi;question;0;1;0;0;tahangdi_question
sionri;shift;0;1;0;0;sionri_shift
yik;split;0;1;0;0;yik_split
sala;do.wrong;0;1;0;0;sala_do.wrong
lakda;"identify;happen";0;1;0;0;"lakda_identify;happen"
tamadi;"repair;stir";0;1;0;0;"tamadi_repair;stir"
oi;have.sexual.intercourse;0;1;0;0;oi_have.sexual.intercourse
leeng-laaidi;bother;0;1;0;0;leeng-laaidi_bother
rarakdi;split.up;0;1;0;0;rarakdi_split.up
siling;cut.crosswise;0;1;0;0;siling_cut.crosswise
pong;front;0;1;0;0;pong_front
yee;dear;0;1;0;0;yee_dear
*j;***;0;1;0;0;*j_***
mulang;"straighten;straight";0;1;0;0;"mulang_straighten;straight"
wang;greet;0;1;0;0;wang_greet
kikda;turn.red;0;1;0;0;kikda_turn.red
fui;flat;0;1;0;0;fui_flat
mangra;happen;0;1;0;0;mangra_happen
yar;give.birth;0;1;0;0;yar_give.birth
daiya;bet;0;1;0;0;daiya_bet
tuokdi;throw.up;0;1;0;0;tuokdi_throw.up
ful;swallow;0;1;0;0;ful_swallow
peisaak;"say.a.curse;agree";0;1;0;0;"peisaak_say.a.curse;agree"
ruidi;set.upright;0;1;0;0;ruidi_set.upright
ier;roast;0;1;0;0;ier_roast
teh;pour.on.;0;1;0;0;teh_pour.on.
mina;side;0;1;0;0;mina_side
arinri;push.up;0;1;0;0;arinri_push.up
dak;clutch;0;1;0;0;dak_clutch
dal;handle;0;1;0;0;dal_handle
yaak;force.open;0;1;0;0;yaak_force.open
tiok-tiokdi;jump.around;0;1;0;0;tiok-tiokdi_jump.around
peekdi;draw.near;0;1;0;0;peekdi_draw.near
minangdi;keep.in.mind;0;1;0;0;minangdi_keep.in.mind
ie?n;see;0;1;0;0;ie?n_see
rimal;spin;0;1;0;0;rimal_spin
wel;"wash;bathe;pour";0;1;0;0;"wel_wash;bathe;pour"
balak;"slam;slap";0;1;0;0;"balak_slam;slap"
pakda;slap;0;1;0;0;pakda_slap
but;"brace;embrace";0;1;0;0;"but_brace;embrace"
pu;catch;0;1;0;0;pu_catch
rek;turned.up;0;1;0;0;rek_turned.up
kawaldi;hide.away;0;1;0;0;kawaldi_hide.away
koili;"throw.down;stumble";0;1;0;0;"koili_throw.down;stumble"
koila;throw.down;0;1;0;0;koila_throw.down
tapi;bring.down;0;1;0;0;tapi_bring.down
dudi;have;0;1;0;0;dudi_have
lakdi;"identify;happen;count";0;1;0;0;"lakdi_identify;happen;count"
roosa;await;0;1;0;0;roosa_await
punadii;hold;0;1;0;0;punadii_hold
tut;breast.feed;0;1;0;0;tut_breast.feed
teini;wake.up;0;1;0;0;teini_wake.up
bi;lean;0;1;0;0;bi_lean
fikda;tighten;0;1;0;0;fikda_tighten
du;have;0;1;0;0;du_have
kolri;cheat;0;1;0;0;kolri_cheat
bot;"inform;tell";0;1;0;0;"bot_inform;tell"
luui;shift;0;1;0;0;luui_shift
munadi;bring.up;0;1;0;0;munadi_bring.up
ranra;quieten;0;1;0;0;ranra_quieten
leeng-laaida;bother;0;1;0;0;leeng-laaida_bother
loida;lengthen;0;1;0;0;loida_lengthen
uor;strike;0;1;0;0;uor_strike
beekdi;"damage;harm";0;1;0;0;"beekdi_damage;harm"
sur;shift;0;1;0;0;sur_shift
suraidi;push;0;1;0;0;suraidi_push
ta?ng;release;0;1;0;0;ta?ng_release
pek;nearby;0;1;0;0;pek_nearby
rea;direct;0;1;0;0;rea_direct
rangra;receive;0;1;0;0;rangra_receive
ien;see;0;1;0;0;ien_see
yeei;fall;0;1;0;0;yeei_fall
teina;wake.up;0;1;0;0;teina_wake.up
yal;give.birth;0;1;0;0;yal_give.birth
rui;erect;0;1;0;0;rui_erect
ie?nri;show;0;1;0;0;ie?nri_show
pakdi;"jump;slap";0;1;0;0;"pakdi_jump;slap"
ah;put.at;0;1;0;0;ah_put.at
weeka;"come.later;following.up";0;1;0;1;"weeka_come.later;following.up"
tuk;"stick.out;measure";0;1;0;1;"tuk_stick.out;measure"
tan;release;0;1;1;0;tan_release
walang;"green;be.fresh";1;0;0;0;"walang_green;be.fresh"
ek;ask.for;1;0;0;0;ek_ask.for
siil-siilra;become.weak;1;0;0;0;siil-siilra_become.weak
kaberangdi;tumble.over;1;0;0;0;kaberangdi_tumble.over
lupa;be.soft;1;0;0;0;lupa_be.soft
batet;"cut.in;smite;throw;strike";1;0;0;0;"batet_cut.in;smite;throw;strike"
fiyaaimea;place.name;1;0;0;0;fiyaaimea_place.name
fanasing;be.soft;1;0;0;0;fanasing_be.soft
afe;before;1;0;0;0;afe_before
tinei;plait;1;0;0;0;tinei_plait
do=ng;prox;1;0;0;0;do=ng_prox
indonesia;indonesia;1;0;0;0;indonesia_indonesia
moku-moku;"suddenly;be.very.small";1;0;0;0;"moku-moku_suddenly;be.very.small"
fung;heap;1;0;0;0;fung_heap
afeidi;set;1;0;0;0;afeidi_set
mari;go.up;1;0;0;0;mari_go.up
sui;wear;1;0;0;0;sui_wear
wak;embrace;1;0;0;0;wak_embrace
wata;coconut;1;0;0;0;wata_coconut
taa-miti;live;1;0;0;0;taa-miti_live
firei;run;1;0;0;0;firei_run
adetsan-sani;be.yellowish;1;0;0;0;adetsan-sani_be.yellowish
afenga;"other;be.other";1;0;0;0;"afenga_other;be.other"
oro;NO_GLOSS;1;0;0;0;oro_NO_GLOSS
hayei;fall;1;0;0;0;hayei_fall
kunai;be.thick;1;0;0;0;kunai_be.thick
diyei;"burn;anger";1;0;0;0;"diyei_burn;anger"
yoling-sasang;run.helter.skelter;1;0;0;0;yoling-sasang_run.helter.skelter
aleeka;be.quick;1;0;0;0;aleeka_be.quick
fokdi;grow.big;1;0;0;0;fokdi_grow.big
kuobi;undeveloped;1;0;0;0;kuobi_undeveloped
sai;fan;1;0;0;0;sai_fan
nal;do.so;1;0;0;0;nal_do.so
kar;ten;1;0;0;0;kar_ten
bukuui;suffer.seizure;1;0;0;0;bukuui_suffer.seizure
moku;be.quiet;1;0;0;0;moku_be.quiet
rumaidi;become.strong;1;0;0;0;rumaidi_become.strong
kuli;be.white;1;0;0;0;kuli_be.white
kanakdi;every;1;0;0;0;kanakdi_every
minak;small;1;0;0;0;minak_small
adusa;be.damaged;1;0;0;0;adusa_be.damaged
fing;"eldest;be.eldest";1;0;0;0;"fing_eldest;be.eldest"
akuta;be.blind;1;0;0;0;akuta_be.blind
ayokda;two.times;1;0;0;0;ayokda_two.times
tawerang;bent;1;0;0;0;tawerang_bent
mop;"pray;sleepy";1;0;0;0;"mop_pray;sleepy"
arin;cram;1;0;0;0;arin_cram
adi;sky;1;0;0;0;adi_sky
iloklokda;vomit;1;0;0;0;iloklokda_vomit
hedu;3.cop;1;0;0;0;hedu_3.cop
baa;stable;1;0;0;0;baa_stable
namur;wound;1;0;0;0;namur_wound
takpala;place;1;0;0;0;takpala_place
hi;"do.as.please;so;be.like.dst;like.dst";1;0;0;0;"hi_do.as.please;so;be.like.dst;like.dst"
tifa;be.new;1;0;0;0;tifa_be.new
bu;exceed;1;0;0;0;bu_exceed
balei;"wind;around";1;0;0;0;"balei_wind;around"
mihi;set;1;0;0;0;mihi_set
lia;die;1;0;0;0;lia_die
ie??n;see;1;0;0;0;ie??n_see
tama;sea;1;0;0;0;tama_sea
taki;"loosen;escape";1;0;0;0;"taki_loosen;escape"
took;drop;1;0;0;0;took_drop
lei;cross;1;0;0;0;lei_cross
kasing;bit;1;0;0;0;kasing_bit
iek;defecate;1;0;0;0;iek_defecate
falaak;"hold;bright";1;0;0;0;"falaak_hold;bright"
tol-tol;be.bent;1;0;0;0;tol-tol_be.bent
y;somewhere;1;0;0;0;y_somewhere
damai;put.down.;1;0;0;0;damai_put.down.
talaanri;six.times;1;0;0;0;talaanri_six.times
tor;split;1;0;0;0;tor_split
koida;tickle;1;0;0;0;koida_tickle
taai-mooling;bless;1;0;0;0;taai-mooling_bless
tara-tara;be.different;1;0;0;0;tara-tara_be.different
balon;heat.up;1;0;0;0;balon_heat.up
palepal;argue;1;0;0;0;palepal_argue
saha;support;1;0;0;0;saha_support
tapeei;pound;1;0;0;0;tapeei_pound
meng;wear;1;0;0;0;meng_wear
enra;cry;1;0;0;0;enra_cry
firaai;run;1;0;0;0;firaai_run
raharak;shiver;1;0;0;0;raharak_shiver
tewir;do.how;1;0;0;0;tewir_do.how
tuura;be.old;1;0;0;0;tuura_be.old
adik;leprosy;1;0;0;0;adik_leprosy
yo;NO_GLOSS;1;0;0;0;yo_NO_GLOSS
aruunra;be.common;1;0;0;0;aruunra_be.common
ha;"be.like.else;be.like;like.dst";1;0;0;0;"ha_be.like.else;be.like;like.dst"
fu;betel.nut;1;0;0;0;fu_betel.nut
palik;"bend.down;crooked";1;0;0;0;"palik_bend.down;crooked"
ameta;small;1;0;0;0;ameta_small
kalieta;"old.person;be.old.person";1;0;0;0;"kalieta_old.person;be.old.person"
faaring;much;1;0;0;0;faaring_much
paliol;witch;1;0;0;0;paliol_witch
tamada;be.fat;1;0;0;0;tamada_be.fat
ning;"in.number;be.qnt";1;0;0;0;"ning_in.number;be.qnt"
takai;"steal;bite;chew";1;0;0;0;"takai_steal;bite;chew"
nat;stand;1;0;0;0;nat_stand
hakil-hawai;make.effort;1;0;0;0;hakil-hawai_make.effort
tawel;pour;1;0;0;0;tawel_pour
tada;exist.ad.prox;1;0;0;0;tada_exist.ad.prox
kabei;"be.little;little";1;0;0;0;"kabei_be.little;little"
tikeipangdi;tied.in.knot;1;0;0;0;tikeipangdi_tied.in.knot
tuku;piece;1;0;0;0;tuku_piece
tirei;inspect;1;0;0;0;tirei_inspect
yenra;do.x.times;1;0;0;0;yenra_do.x.times
areng;turned.at;1;0;0;0;areng_turned.at
ayokdi;two.times;1;0;0;0;ayokdi_two.times
riyek;slam;1;0;0;0;riyek_slam
tah;"put.on;on";1;0;0;0;"tah_put.on;on"
suidi;three.times;1;0;0;0;suidi_three.times
fiet;tear;1;0;0;0;fiet_tear
ak;open.mouth;1;0;0;0;ak_open.mouth
heng;3.cop;1;0;0;0;heng_3.cop
palel;break.off;1;0;0;0;palel_break.off
alinri;rotten;1;0;0;0;alinri_rotten
tapat;thick;1;0;0;0;tapat_thick
ti;"hm;phsl.c";1;0;0;0;"ti_hm;phsl.c"
aken;threaten;1;0;0;0;aken_threaten
loi;bark;1;0;0;0;loi_bark
eik;defecate;1;0;0;0;eik_defecate
tuko;cut;1;0;0;0;tuko_cut
weei;leave;1;0;0;0;weei_leave
loku;small.person;1;0;0;0;loku_small.person
yot;lift.up;1;0;0;0;yot_lift.up
tulisi;write;1;0;0;0;tulisi_write
bula;sharp;1;0;0;0;bula_sharp
natii;put.a.spell;1;0;0;0;natii_put.a.spell
mahii;perceive;1;0;0;0;mahii_perceive
buong;lack;1;0;0;0;buong_lack
tahaa;above;1;0;0;0;tahaa_above
h;"elsewhere;like;lack";1;0;0;0;"h_elsewhere;like;lack"
faak;sheath;1;0;0;0;faak_sheath
rofi;"obvious;right";1;0;0;0;"rofi_obvious;right"
ulang;repeat;1;0;0;0;ulang_repeat
bataa;wood;1;0;0;0;bataa_wood
folri;become.thin;1;0;0;0;folri_become.thin
tewil;do.how;1;0;0;0;tewil_do.how
bakul;stab;1;0;0;0;bakul_stab
tafiela;wrong-doing;1;0;0;0;tafiela_wrong-doing
takadi;empty;1;0;0;0;takadi_empty
foto;photograph;1;0;0;0;foto_photograph
bilen;colour;1;0;0;0;bilen_colour
dup;intens;1;0;0;0;dup_intens
tuutaaha;coast;1;0;0;0;tuutaaha_coast
akut;close.eyes;1;0;0;0;akut_close.eyes
mok;"pray;bring.together";1;0;0;0;"mok_pray;bring.together"
mang;possession;1;0;0;0;mang_possession
suida;three.times;1;0;0;0;suida_three.times
maar;cook;1;0;0;0;maar_cook
iyafokang;protect.with.meshwork.spell;1;0;0;0;iyafokang_protect.with.meshwork.spell
nahang;"be.everywhere;everywhere";1;0;0;0;"nahang_be.everywhere;everywhere"
war-afei-afeida;become.late.afternoon;1;0;0;0;war-afei-afeida_become.late.afternoon
pei;agree;1;0;0;0;pei_agree
firai;run;1;0;0;0;firai_run
liki;"strong;stuck.in;be.strong.";1;0;0;0;"liki_strong;stuck.in;be.strong."
kilang;be.careful;1;0;0;0;kilang_be.careful
la?k;go.away;1;0;0;0;la?k_go.away
taha;"be.on;pole";1;0;0;0;"taha_be.on;pole"
takata;be.dry;1;0;0;0;takata_be.dry
tanel;weep;1;0;0;0;tanel_weep
tapei;"pound;grind;stab";1;0;0;0;"tapei_pound;grind;stab"
tulisa;write;1;0;0;0;tulisa_write
si;"phsl.i;scoop";1;0;0;0;"si_phsl.i;scoop"
fir;rush;1;0;0;0;fir_rush
beek;bad;1;0;0;0;beek_bad
kata;so:now;1;0;0;0;kata_so:now
korea;korea;1;0;0;0;korea_korea
wentanga-mentanga;talk.in.delirium;1;0;0;0;wentanga-mentanga_talk.in.delirium
ama;person;1;0;0;0;ama_person
atang;tickle;1;0;0;0;atang_tickle
haal;happen.dst;1;0;0;0;haal_happen.dst
sah;put.along;1;0;0;0;sah_put.along
pasang;install;1;0;0;0;pasang_install
piyei;go.down;1;0;0;0;piyei_go.down
makiilri;inflamed;1;0;0;0;makiilri_inflamed
fuisi;erupt;1;0;0;0;fuisi_erupt
kor;bind;1;0;0;0;kor_bind
maseena;"be.nice;nice";1;0;0;0;"maseena_be.nice;nice"
fen;"injure;hit";1;0;0;0;"fen_injure;hit"
mut;blow;1;0;0;0;mut_blow
san;ripen;1;0;0;0;san_ripen
mah;put.in.;1;0;0;0;mah_put.in.
kiingri;fry;1;0;0;0;kiingri_fry
takukul;wrinkled;1;0;0;0;takukul_wrinkled
tariik;hospital;1;0;0;0;tariik_hospital
hedo;3.foc;1;0;0;0;hedo_3.foc
sa;be.parallel;1;0;0;0;sa_be.parallel
kowa;raw;1;0;0;0;kowa_raw
ara;fire;1;0;0;0;ara_fire
falaaka;bright;1;0;0;0;falaaka_bright
bukopi;compose;1;0;0;0;bukopi_compose
ta;be;1;0;0;0;ta_be
we;"leave;3p";1;0;0;0;"we_leave;3p"
natia;put.a.spell;1;0;0;0;natia_put.a.spell
tukola;hole;1;0;0;0;tukola_hole
tilaka;"hung.up;hang;hanging";1;0;0;0;"tilaka_hung.up;hang;hanging"
kirekdi;tear;1;0;0;0;kirekdi_tear
takda;empty;1;0;0;0;takda_empty
he;proh;1;0;0;0;he_proh
tangi;speak;1;0;0;0;tangi_speak
taaha;"upper.end;be.on";1;0;0;0;"taaha_upper.end;be.on"
wei;leave;1;0;0;0;wei_leave
fila;"young;be.young";1;0;0;0;"fila_young;be.young"
enri;cry;1;0;0;0;enri_cry
kafufi;spit;1;0;0;0;kafufi_spit
piek;pass.along;1;0;0;0;piek_pass.along
loohu;be.long;1;0;0;0;loohu_be.long
tapakni;swell;1;0;0;0;tapakni_swell
kokda;"younger;be.younger";1;0;0;0;"kokda_younger;be.younger"
mui;"game;play;to.play";1;0;0;0;"mui_game;play;to.play"
el;already.be;1;0;0;0;el_already.be
nate;stand;1;0;0;0;nate_stand
miadi;get.in;1;0;0;0;miadi_get.in
reheei;roast;1;0;0;0;reheei_roast
nuknukdi;each.individually;1;0;0;0;nuknukdi_each.individually
raharakdi;shiver;1;0;0;0;raharakdi_shiver
bata;"core;wood";1;0;0;0;"bata_core;wood"
wal;exceed;1;0;0;0;wal_exceed
afui;scoop.up;1;0;0;0;afui_scoop.up
